,Artist,Scrape_Date,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
42,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-05 00:00:00.000000,"ASMR Big Sister Does Your Makeup (Personal Attention, Face Touching, Spray sounds, Tongue clicking",People & Blogs,37.38333333333333,529037,9358,301,False,True,https://www.youtube.com/watch?v=KnDzHOcWPYY
43,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-02 00:00:00.000000,"ASMR 3DIO INTENSE Mouth Sounds (Gum Chewing, Kissing sounds, Pure Mouth Sounds, Tk, Trigger Words..",People & Blogs,31.466666666666665,540160,8325,520,False,True,https://www.youtube.com/watch?v=4d-KNbYDovo
44,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-06-28 00:00:00.000000,"ASMR Visual Triggers for Sleep (Face touching, Face Brushing, Hand movements, Light, Cottons..)",People & Blogs,48.03333333333333,890771,13143,402,False,True,https://www.youtube.com/watch?v=fI9setgbreo
45,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-06-21 00:00:00.000000,"ASMR 3DIO Ear Cleaning (Ear brushing, Ear cupping, Ear massage, Ear touching, Cotton sounds...)",People & Blogs,35.5,592382,8959,226,False,True,https://www.youtube.com/watch?v=Wysl9DbQRQw
46,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-06-17 00:00:00.000000,"ASMR Lice Check Roleplay (Scalp massage, Shampoo, Light triggers, Mouth sounds, Hair Brushing...)",People & Blogs,41.86666666666667,565696,12363,774,False,True,https://www.youtube.com/watch?v=7NgqwK-DUkY
47,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-06-07 00:00:00.000000,ASMR Your 23 Favorite Triggers | 3 MICS | 400K Celebrations!,People & Blogs,73.3,921257,15904,473,False,True,https://www.youtube.com/watch?v=k7_km9p1JpQ
48,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-05-31 00:00:00.000000,"ASMR Different Languages Whispering (Russian, German, Portuguese, Spanish, Arabic, Japanese...",People & Blogs,57.05,1620948,25769,913,False,True,https://www.youtube.com/watch?v=c15x6N5RsxQ
49,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-05-27 00:00:00.000000,ASMR 3Dio Metal Case Scratching & Tapping + Ear touching,People & Blogs,21.516666666666666,388952,6977,210,False,True,https://www.youtube.com/watch?v=1xga5XwqyJM
50,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-05-20 00:00:00.000000,ASMR 2h Livestream Twitch! ASMR GLOW,People & Blogs,123.78333333333333,168042,3502,145,False,True,https://www.youtube.com/watch?v=c-kS9OVQYc4
51,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-05-16 00:00:00.000000,ASMR Closeup Personal Attention + Humming/Soft Singing,People & Blogs,39.85,451732,8109,222,False,True,https://www.youtube.com/watch?v=W1dbK6Y67Vk
52,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-05-07 00:00:00.000000,"ASMR FRANCAIS 3DIO! (ear brushing, ear cupping, humming, trigger words...)",People & Blogs,36.65,774946,14154,425,False,True,https://www.youtube.com/watch?v=Ef7ev2rwGZM
53,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-04-29 00:00:00.000000,ASMR Soft Singing (Worst Decision of My Life),People & Blogs,43.6,546495,20461,429,False,True,https://www.youtube.com/watch?v=hlcXgyk99Qk
54,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-04-25 00:00:00.000000,ASMR Trigger Words YOU Chose!,People & Blogs,29.533333333333335,436692,7631,169,False,True,https://www.youtube.com/watch?v=ROZOtMbR-hA
55,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-04-15 00:00:00.000000,ASMR MIC SCRATCHING (+ some triggers words...),People & Blogs,28.383333333333333,654451,10328,224,False,True,https://www.youtube.com/watch?v=JPimAZjSL-U
56,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-04-11 00:00:00.000000,"ASMR 3DIO Inaudible/Unintelligible Whispers (Book reading, Page turning, Breathing sounds...)",People & Blogs,34.81666666666667,309427,5369,186,False,True,https://www.youtube.com/watch?v=KznaobOKtE0
57,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-04-08 00:00:00.000000,"ASMR Fixing You 3 (3DIO: Gloves sounds, Ear cleaning, Face Brushing, Scratching sounds and +",People & Blogs,51.75,1437874,27398,718,False,True,https://www.youtube.com/watch?v=Z7xw0-E5q40
58,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-03-20 00:00:00.000000,"ASMR Let's Talk Insecurities (Body Confidence, Self Confidence)",People & Blogs,32.0,286222,6799,148,False,True,https://www.youtube.com/watch?v=hJhmbu46xNU
59,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-03-14 00:00:00.000000,ASMR 3DIO Tapping Session for 1000000 Tingles!,People & Blogs,44.35,408755,6940,150,False,True,https://www.youtube.com/watch?v=-zqk8SSA2Po
60,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-03-07 00:00:00.000000,"ASMR Get Ready With Me: My Birthday! (Makeup tutorial, lid sounds, tongue clicking, mascara sounds)",People & Blogs,24.266666666666666,343678,7182,142,False,True,https://www.youtube.com/watch?v=OidLMvscqns
61,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-03-03 00:00:00.000000,"ASMR Let Me Calm You Down! (Shh, Hand movements, Face Touching, Everything will be fine, Breathing)",People & Blogs,28.8,875694,14523,457,False,True,https://www.youtube.com/watch?v=fZnptZ2wI88
