,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
79,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-03,Miami Vice: Danger Beach | The Daily Show,Comedy,236139,4957,84,https://www.youtube.com/watch?v=kHgTdkcDe5c
78,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-02,Dwyane Wade Makes Trevor a Member of the Miami Heat | The Daily Show,Comedy,97608,2650,32,https://www.youtube.com/watch?v=m2m-8zfFqJw
80,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-02,Dwyane Wade Makes Trevor a Member of the Miami Heat | The Daily Show,Comedy,97608,2650,32,https://www.youtube.com/watch?v=m2m-8zfFqJw
81,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-02,Derek Jeter - Reshaping the Miami Marlins and Giving Athletes a Voice | The Daily Show,Comedy,100295,1155,44,https://www.youtube.com/watch?v=rg_8jtUuJaM
82,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-02,Who is “Florida Man”? Desi Lydic Investigates | The Daily Show,Comedy,618908,12882,322,https://www.youtube.com/watch?v=UD9LEPML8uk
83,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-01,Trump Rallies His Base & Florida Faces Big Midterm Election Decisions | The Daily Show,Comedy,1333962,18145,620,https://www.youtube.com/watch?v=0k3hFEfQ7k8
84,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-01,Trevor’s Mom Isn’t About the Fame - Between the Scenes | The Daily Show,Comedy,676507,13564,103,https://www.youtube.com/watch?v=uVTBQLa-xgY
85,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-01,CP Time: Black Floridians Who Made History | The Daily Show,Comedy,272134,5839,110,https://www.youtube.com/watch?v=hWsL93vjDXs
86,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-01,Florida Politicians Go Bilingual for the Hispanic Vote | The Daily Show,Comedy,408634,8977,137,https://www.youtube.com/watch?v=vx6fJDL4CMg
87,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-31,“Stand Your Ground” Spooks & Trump’s Birthright Scare | The Daily Show,Comedy,1626706,20149,684,https://www.youtube.com/watch?v=8ToevwVM3e8
88,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-31,Caravan Fear-Mongering - Between the Scenes | The Daily Show,Comedy,461351,11139,206,https://www.youtube.com/watch?v=TUMc4cVuexw
89,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-30,Trump and Fox News’s Caravan Hysteria Reaches a Fever Pitch | The Daily Show,Comedy,2220079,35417,4288,https://www.youtube.com/watch?v=Mqj1C9G3GBw
90,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-30,Andrew Gillum - Winning Hearts and Minds in Florida’s Gubernatorial Race | The Daily Show,Comedy,647245,13991,322,https://www.youtube.com/watch?v=GfrUXmyGuoQ
94,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-29,Connecting Trump’s Rhetoric to Domestic Terrorism - Between the Scenes | The Daily Show,Comedy,557291,10126,179,https://www.youtube.com/watch?v=3G4aUwgReVc
93,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-29,Is Trump’s Rhetoric to Blame for the Florida Mail Bomber?  | The Daily Show,Comedy,1619954,21774,1887,https://www.youtube.com/watch?v=6N1Odg0CPgs
91,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-29,The Daily Show Takes Miami,Comedy,273314,7420,103,https://www.youtube.com/watch?v=ary_sfES_nI
92,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-29,Miami Beach’s Mayor Gives Trevor the Key to the City | The Daily Show,Comedy,184659,6268,57,https://www.youtube.com/watch?v=M_yPjPcRJEE
95,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-28,Trevor’s 10-Year-Old Brother Explains Race - Between the Scenes | The Daily Show,Comedy,1483592,57347,304,https://www.youtube.com/watch?v=gTChXsrGZC4
96,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-27,Amandla Stenberg - Portraying Code-Switching in “The Hate U Give” | The Daily Show,Comedy,371121,9342,170,https://www.youtube.com/watch?v=d922aUiWdG4
97,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-26,Dulcé Sloan: Objective...To a Point | The Daily Show,Comedy,61960,1467,40,https://www.youtube.com/watch?v=fsHLIRvBIMo
